clip_id,valence,arousal
0_0,2,7
1_0,7,7
1_1,9,9
0_1,5,2
1_2,9,4
0_2,2,9
1_3,7,3
0_3,2,7
1_4,0,4
0_4,4,7
1_5,3,0
0_5,6,0
1_6,6,8
0_6,7,9
1_7,1,4
0_7,6,1
1_8,5,2
0_8,7,9
1_9,1,2
0_9,3,9
1_10,9,4
0_10,2,8
1_11,3,5
0_11,2,2
1_12,9,9
0_12,3,4
1_13,1,8
0_13,2,6
1_14,5,3
0_14,4,1
1_15,7,8
0_15,0,9
1_16,9,1
0_16,5,0
1_17,2,7
0_17,8,2
1_18,6,1
0_18,7,9
1_19,0,0
0_19,2,7
1_20,3,7
0_20,8,1
1_21,2,2
0_21,4,8
1_22,8,8
0_22,0,6
1_23,2,2
0_23,9,6
1_24,5,9
0_24,1,2
1_25,4,3
0_25,4,5
1_26,5,4
0_26,1,9
1_27,7,8
0_27,0,9
1_28,9,1
0_28,8,7
1_29,6,2
0_29,5,7
1_30,6,3
0_30,3,6
1_31,2,5
0_31,3,1
1_32,9,5
0_32,6,9
1_33,6,5
0_33,9,9
1_34,8,1
0_34,8,7
1_35,5,8
0_35,7,9
1_36,0,1
0_36,2,3
1_37,2,3
0_37,8,7
1_38,1,4
0_38,5,2
1_39,7,6
0_39,6,0
1_40,4,5
0_40,6,6
1_41,0,0
0_41,7,5
1_42,0,5
0_42,4,6
1_43,5,2
0_43,3,3
1_44,5,1
0_44,0,6
1_45,7,0
0_45,5,3
1_46,3,3
0_46,6,5
1_47,7,6
0_47,7,8
1_48,4,9
0_48,6,9
1_49,8,9
0_49,9,9
